Language,Percentage
Web-related,23.803526448362717
Java,13.224181360201511
Python,11.838790931989925
PHP,8.438287153652393
C#,7.43073047858942
Node.js,5.793450881612091
C++,3.7783375314861463
Golang,3.6523929471032743
TypeScript,3.400503778337532
Kotlin,2.0151133501259446
JSP,1.7632241813602016
VB.net,1.385390428211587
HTML5,1.2594458438287155
Dart,0.8816120906801008
Scala,0.8816120906801008
Swift,0.8816120906801008
C,0.8816120906801008
JavaScript,0.8816120906801008
R,0.7556675062972292
Typescript,0.6297229219143577
Objective-C,0.5037783375314862
TypeScript 4+,0.3778337531486146
VB.NET,0.3778337531486146
Sass,0.2518891687657431
CSS3,0.2518891687657431
Less,0.2518891687657431
VB,0.2518891687657431
Bash,0.2518891687657431
JavaScript(ES6),0.2518891687657431
COBOL,0.2518891687657431
PowerShell,0.2518891687657431
GoLang,0.2518891687657431
C#.NET,0.2518891687657431
VBA,0.2518891687657431
SQL,0.2518891687657431
C#.Net,0.2518891687657431
C#.net,0.2518891687657431
JAVA,0.2518891687657431
VB.Net,0.12594458438287154
Ruby,0.12594458438287154
RPG,0.12594458438287154
JavaScript (ES6+),0.12594458438287154
Servlet,0.12594458438287154
APEX,0.12594458438287154
MATLAB,0.12594458438287154
Rust,0.12594458438287154
SAS,0.12594458438287154
Embedded C,0.12594458438287154
XML,0.12594458438287154
